# RA = 11 04 27.34(166.11392)
# Dec = +38 12 32.40(38.209)
# Redshift = 0.0
# NH = 1.92E20 
# BeppoSAX Spectra (Giommi et al. 2002) (id = 112)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
9.2370E17     0.0000E00    6.4045E-11   1.1280E-11    51715.462558    51716.316008
1.3810E18     0.0000E00    7.7957E-11   1.1160E-11    51715.462558    51716.316008
2.1230E18     0.0000E00    4.7351E-11   1.9376E-11    51715.462558    51716.316008
5.7550E17     0.0000E00    2.0440E-10   1.0542E-11    51150.277905    51151.34086
9.2370E17     0.0000E00    1.9171E-10   1.0266E-11    51150.277905    51151.34086
1.3810E18     0.0000E00    1.5292E-10   1.2784E-11    51150.277905    51151.34086
2.1230E18     0.0000E00    1.6540E-10   2.0870E-11    51150.277905    51151.34086
6.0210E17     0.0000E00    8.7854E-11   1.0790E-11    50789.813067    50790.597281
9.6480E17     0.0000E00    9.1582E-11   1.0184E-11    50789.813067    50790.597281
1.4480E18     0.0000E00    6.7911E-11   1.2820E-11    50789.813067    50790.597281
2.2310E18     0.0000E00    6.8699E-11   1.8185E-11    50789.813067    50790.597281
5.7550E17     0.0000E00    1.8505E-10   3.5769E-11    50974.535706    50974.89905
9.2370E17     0.0000E00    1.6246E-10   2.8861E-11    50974.535706    50974.89905
1.3810E18     0.0000E00    1.1062E-10   3.3328E-11    50974.535706    50974.89905
2.1230E18     0.0000E00    1.3341E-10   4.6741E-11    50974.535706    50974.89905
5.7550E17     0.0000E00    1.3916E-10   3.0758E-11    52051.393171    52052.651389
9.2370E17     0.0000E00    1.1525E-10   2.6448E-11    52051.393171    52052.651389
1.3810E18     0.0000E00    9.6374E-11   2.6962E-11    52051.393171    52052.651389
6.0210E17     0.0000E00    9.1042E-11   7.9736E-12    51336.61941    51337.538454
9.6480E17     0.0000E00    5.5939E-11   7.8060E-12    51336.61941    51337.538454
1.4480E18     0.0000E00    6.1457E-11   8.8554E-12    51336.61941    51337.538454
2.2310E18     0.0000E00    3.1852E-11   1.2781E-11    51336.61941    51337.538454
6.0210E17     0.0000E00    3.3336E-10   1.2482E-11    51353.247627    51353.760189
9.6480E17     0.0000E00    2.5784E-10   1.1065E-11    51353.247627    51353.760189
1.4480E18     0.0000E00    2.1958E-10   1.3424E-11    51353.247627    51353.760189
2.2310E18     0.0000E00    1.6845E-10   1.9498E-11    51353.247627    51353.760189
6.0210E17     0.0000E00    2.8416E-10   3.9781E-11    50994.682083    50996.607789
9.6480E17     0.0000E00    2.5010E-10   3.9564E-11    50994.682083    50996.607789
1.4480E18     0.0000E00    1.3700E-10   5.5611E-11    50994.682083    50996.607789
2.2310E18     0.0000E00    1.3246E-10   1.0162E-10    50994.682083    50996.607789
6.0210E17     0.0000E00    1.8121E-10   2.7477E-11    51692.867812    51693.521542
9.6480E17     0.0000E00    8.4819E-11   3.1044E-11    51692.867812    51693.521542
1.4480E18     0.0000E00    1.5754E-10   3.5643E-11    51692.867812    51693.521542
6.0210E17     0.0000E00    4.0478E-10   1.2528E-11    51151.412512    51153.615301
9.6480E17     0.0000E00    3.1078E-10   1.0954E-11    51151.412512    51153.615301
1.4480E18     0.0000E00    2.7224E-10   1.4152E-11    51151.412512    51153.615301
2.2310E18     0.0000E00    1.9629E-10   2.4753E-11    51151.412512    51153.615301
5.7550E17     0.0000E00    2.2562E-10   1.5213E-11    51354.108113    51355.176645
9.2370E17     0.0000E00    2.4155E-10   1.0656E-11    51354.108113    51355.176645
1.3810E18     0.0000E00    2.2018E-10   1.1916E-11    51354.108113    51355.176645
2.1230E18     0.0000E00    1.6362E-10   1.7502E-11    51354.108113    51355.176645
5.7550E17     0.0000E00    2.5477E-10   1.4028E-11    50990.209977    50991.254691
9.2370E17     0.0000E00    2.2352E-10   1.2053E-11    50990.209977    50991.254691
1.3810E18     0.0000E00    1.8231E-10   1.4885E-11    50990.209977    50991.254691
2.1230E18     0.0000E00    1.6890E-10   1.9390E-11    50990.209977    50991.254691
6.0210E17     0.0000E00    1.7088E-10   2.9409E-11    51112.028611    51112.905855
9.6480E17     0.0000E00    1.0501E-10   2.6508E-11    51112.028611    51112.905855
1.4480E18     0.0000E00    1.6761E-10   3.5105E-11    51112.028611    51112.905855
2.2310E18     0.0000E00    1.0717E-10   5.8575E-11    51112.028611    51112.905855
6.0210E17     0.0000E00    2.2627E-10   1.6757E-11    50763.647928    50764.62512
9.6480E17     0.0000E00    2.0261E-10   1.3531E-11    50763.647928    50764.62512
1.4480E18     0.0000E00    1.6358E-10   1.6184E-11    50763.647928    50764.62512
2.2310E18     0.0000E00    1.1923E-10   2.6755E-11    50763.647928    50764.62512
6.0210E17     0.0000E00    9.4704E-11   9.7861E-12    50825.578264    50826.550315
9.6480E17     0.0000E00    7.7569E-11   7.9445E-12    50825.578264    50826.550315
1.4480E18     0.0000E00    6.1644E-11   9.8345E-12    50825.578264    50826.550315
2.2310E18     0.0000E00    4.7907E-11   1.4967E-11    50825.578264    50826.550315
5.7550E17     0.0000E00    1.2666E-10   1.2739E-11    51334.337361    51336.540706
9.2370E17     0.0000E00    1.2251E-10   1.2593E-11    51334.337361    51336.540706
1.3810E18     0.0000E00    8.6899E-11   1.4523E-11    51334.337361    51336.540706
2.1230E18     0.0000E00    6.7604E-11   2.3818E-11    51334.337361    51336.540706
5.7550E17     0.0000E00    5.1969E-11   8.5232E-12    50438.013044    50438.405111
9.2370E17     0.0000E00    3.0210E-11   7.2776E-12    50438.013044    50438.405111
1.3810E18     0.0000E00    4.0694E-11   8.3821E-12    50438.013044    50438.405111
2.1230E18     0.0000E00    4.5951E-11   1.2557E-11    50438.013044    50438.405111
5.7550E17     0.0000E00    3.5848E-10   2.2157E-11    50982.365405    50982.994279
9.2370E17     0.0000E00    3.4623E-10   2.0243E-11    50982.365405    50982.994279
1.3810E18     0.0000E00    3.6567E-10   2.2440E-11    50982.365405    50982.994279
2.1230E18     0.0000E00    2.6693E-10   3.4430E-11    50982.365405    50982.994279
6.0210E17     0.0000E00    3.1180E-10   1.1520E-11    51353.247627    51354.034874
9.6480E17     0.0000E00    2.3334E-10   9.3084E-12    51353.247627    51354.034874
1.4480E18     0.0000E00    1.9659E-10   1.1571E-11    51353.247627    51354.034874
2.2310E18     0.0000E00    1.4405E-10   1.7007E-11    51353.247627    51354.034874
5.7550E17     0.0000E00    1.0838E-10   1.1504E-11    52056.214468    52056.682947
9.2370E17     0.0000E00    7.4557E-11   1.0079E-11    52056.214468    52056.682947
1.3810E18     0.0000E00    7.8993E-11   1.0919E-11    52056.214468    52056.682947
2.1230E18     0.0000E00    7.3064E-11   1.9650E-11    52056.214468    52056.682947
5.7550E17     0.0000E00    1.4397E-10   7.9205E-12    52052.739259    52056.200185
9.2370E17     0.0000E00    1.4145E-10   5.1035E-12    52052.739259    52056.200185
1.3810E18     0.0000E00    1.3490E-10   5.6419E-12    52052.739259    52056.200185
2.1230E18     0.0000E00    1.0112E-10   8.9458E-12    52052.739259    52056.200185
6.0210E17     0.0000E00    2.1259E-10   2.2384E-11    51684.489317    51687.184155
9.6480E17     0.0000E00    1.7001E-10   2.0817E-11    51684.489317    51687.184155
1.4480E18     0.0000E00    1.0703E-10   2.2542E-11    51684.489317    51687.184155
5.7550E17     0.0000E00    8.7388E-11   8.8117E-12    50806.605613    50808.403935
9.2370E17     0.0000E00    5.0609E-11   9.0540E-12    50806.605613    50808.403935
1.3810E18     0.0000E00    4.9480E-11   1.0699E-11    50806.605613    50808.403935
2.1230E18     0.0000E00    2.7281E-11   1.8862E-11    50806.605613    50808.403935
6.0210E17     0.0000E00    2.5283E-10   8.8181E-12    50970.127431    50974.053137
9.6480E17     0.0000E00    1.8218E-10   8.1964E-12    50970.127431    50974.053137
1.4480E18     0.0000E00    1.5838E-10   1.0251E-11    50970.127431    50974.053137
2.2310E18     0.0000E00    1.1949E-10   1.7928E-11    50970.127431    50974.053137
5.7550E17     0.0000E00    2.9772E-10   3.7791E-11    51706.379572    51708.61853
9.2370E17     0.0000E00    1.7680E-10   2.6667E-11    51706.379572    51708.61853
1.3810E18     0.0000E00    1.1608E-10   2.7888E-11    51706.379572    51708.61853
2.1230E18     0.0000E00    1.2502E-10   4.9641E-11    51706.379572    51708.61853
5.7550E17     0.0000E00    1.0516E-10   9.5701E-12    52061.528472    52065.333264
9.2370E17     0.0000E00    7.9992E-11   5.9586E-12    52061.528472    52065.333264
1.3810E18     0.0000E00    7.3399E-11   6.3074E-12    52061.528472    52065.333264
2.1230E18     0.0000E00    7.2915E-11   1.0748E-11    52061.528472    52065.333264
6.0210E17     0.0000E00    2.8772E-10   1.1227E-11    51701.965625    51703.012581
9.6480E17     0.0000E00    2.6787E-10   9.2520E-12    51701.965625    51703.012581
1.4480E18     0.0000E00    2.4783E-10   1.0569E-11    51701.965625    51703.012581
2.2310E18     0.0000E00    2.2353E-10   1.5692E-11    51701.965625    51703.012581
5.7550E17     0.0000E00    9.4703E-11   1.3228E-11    52067.421377    52071.989734
9.2370E17     0.0000E00    1.0576E-10   6.8761E-12    52067.421377    52071.989734
1.3810E18     0.0000E00    1.0516E-10   6.4476E-12    52067.421377    52071.989734
2.1230E18     0.0000E00    8.6213E-11   9.2868E-12    52067.421377    52071.989734
# SAXMECS (id = 55)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.2540E17     0.0000E00    3.7900E-10   4.3263E-13    51673.172917    51676.296262
#7.2540E17     0.0000E00    4.9122E-10   1.0365E-12    51662.980185    51663.966956
7.2540E17     0.0000E00    1.7125E-10   4.9573E-13    50986.303021    50987.098519
7.2540E17     0.0000E00    4.5517E-10   9.4638E-13    51664.333623    51667.092384
7.2540E17     0.0000E00    8.6527E-11   1.8477E-13    51302.761759    51306.14015
7.2540E17     0.0000E00    4.7770E-10   9.9148E-13    51661.891146    51662.968588
7.2540E17     0.0000E00    1.3204E-10   4.3264E-13    50926.020012    50927.275741
7.2540E17     0.0000E00    2.2082E-10   5.8587E-13    50924.083264    50925.134583
# RXS2CAT (id = 54)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E17     0.0000E00    1.9462E-10   1.8441E-12    48104.0    48499.0
# RASS (id = 53)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E17     0.0000E00    1.5161E-10   1.6245E-12    47892.5    48257.5
# IPCSLEW (id = 52)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E17     0.0000E00    4.3169E-11   2.8265E-12    43813.5    44695.5
# IPC (id = 51)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
2.4200E17     0.0000E00    2.0777E-11   7.6749E-13    43813.5    44695.5
2.4200E17     0.0000E00    4.3364E-11   5.3705E-13    43813.5    44695.5
2.4200E17     0.0000E00    5.1496E-11   6.6989E-13    43813.5    44695.5
# CMA (id = 50)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
7.6460E16     0.0000E00    1.9528E-11   2.3864E-12    46069.695312    46069.695312
7.6460E16     0.0000E00    4.2987E-11   3.0090E-12    46069.636719    46069.636719
7.6460E16     0.0000E00    7.7070E-12   2.8853E-12    45732.605469    45732.605469
7.6460E16     0.0000E00    6.6063E-11   3.8385E-12    46069.609375    46069.609375
7.6460E16     0.0000E00    1.9313E-11   2.3295E-12    45734.605469    45734.605469
7.6460E16     0.0000E00    5.7208E-11   2.9924E-12    45734.539062    45734.539062
7.6460E16     0.0000E00    3.7735E-11   2.0560E-12    45734.558594    45734.558594
7.6460E16     0.0000E00    6.7407E-11   2.8032E-12    45731.472656    45731.472656
7.6460E16     0.0000E00    6.5125E-11   2.6696E-12    45736.050781    45736.050781
7.6460E16     0.0000E00    4.3497E-11   1.8299E-12    45731.511719    45731.511719
7.6460E16     0.0000E00    4.0804E-11   2.2507E-12    45736.089844    45736.089844
7.6460E16     0.0000E00    1.7585E-11   3.7135E-12    45732.582031    45732.582031
7.6460E16     0.0000E00    1.8670E-11   3.0535E-12    45736.132812    45736.132812
7.6460E16     0.0000E00    6.3505E-11   2.6198E-12    46197.675781    46197.675781
7.6460E16     0.0000E00    1.5104E-10   6.0697E-12    46039.808594    46039.808594
7.6460E16     0.0000E00    7.7289E-11   4.7162E-12    46039.882812    46039.882812
7.6460E16     0.0000E00    1.2029E-10   4.8061E-12    46039.832031    46039.832031
7.6460E16     0.0000E00    2.6800E-11   2.0942E-12    45732.546875    45732.546875
7.6460E16     0.0000E00    7.0050E-11   3.4097E-12    46037.96875    46037.96875
7.6460E16     0.0000E00    4.1803E-11   1.7846E-12    46192.007812    46192.007812
7.6460E16     0.0000E00    4.4330E-11   2.0604E-12    45732.496094    45732.496094
7.6460E16     0.0000E00    5.6970E-11   2.0894E-12    46191.929688    46191.929688
7.6460E16     0.0000E00    1.6290E-11   1.6275E-12    46192.105469    46192.105469
7.6460E16     0.0000E00    8.8424E-11   3.7374E-12    46036.746094    46036.746094
7.6460E16     0.0000E00    2.0762E-11   1.9378E-12    46183.96875    46183.96875
7.6460E16     0.0000E00    1.1750E-10   4.7798E-12    46036.71875    46036.71875
7.6460E16     0.0000E00    4.2014E-11   1.9360E-12    46183.890625    46183.890625
7.6460E16     0.0000E00    6.6371E-11   2.3795E-12    46196.875    46196.875
7.6460E16     0.0000E00    5.6715E-11   3.9900E-12    46036.792969    46036.792969
7.6460E16     0.0000E00    1.8151E-11   1.8155E-12    46206.710938    46206.710938
7.6460E16     0.0000E00    5.7630E-11   2.1113E-12    46183.8125    46183.8125
7.6460E16     0.0000E00    4.5343E-11   1.9979E-12    46196.960938    46196.960938
7.6460E16     0.0000E00    3.7041E-11   1.8300E-12    46206.628906    46206.628906
7.6460E16     0.0000E00    2.5123E-11   2.6275E-12    46177.386719    46177.386719
7.6460E16     0.0000E00    7.4664E-11   2.6355E-12    46177.230469    46177.230469
7.6460E16     0.0000E00    1.1441E-10   4.0946E-12    46037.859375    46037.859375
7.6460E16     0.0000E00    5.6509E-11   2.4843E-12    46177.3125    46177.3125
7.6460E16     0.0000E00    1.4992E-10   5.6907E-12    46037.824219    46037.824219
7.6460E16     0.0000E00    5.2146E-11   1.9469E-12    46206.546875    46206.546875
7.6460E16     0.0000E00    1.8638E-11   1.9370E-12    46197.046875    46197.046875
# ARIEL3A (id = 49)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.3760E17     0.0000E00    2.7140E-10   1.6962E-11 0.0   0.0
8.3760E17     0.0000E00    3.7105E-11   2.4737E-12 0.0   0.0
# 1SXPS(2—10 keV) (id = 48)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.0810E18     0.0000E00    3.3431E-10   7.9522E-12    53647.181157    54416.616076
# 1SXPS(1-2keV) (id = 47)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
3.4190E17     0.0000E00    5.0529E-10   7.8909E-12    53647.181157    54416.616076
# 1SXPS(0.3—10 keV) (id = 46)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
4.1880E17     0.0000E00    5.2113E-10   4.4025E-12    53647.181157    54416.616076
# 1SXPS(0.3-1keV) (id = 45)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3250E17     0.0000E00    5.4379E-10   6.5160E-12    53647.181157    54416.616076
# UVOTSSC uvw2 (id = 44)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.4750E15     0.0000E00    1.8154E-10   1.1091E-12    55236.060313    55236.060313
1.4750E15     0.0000E00    1.5108E-10   9.5765E-13    55265.983877    55265.983877
1.4750E15     0.0000E00    2.4168E-10   1.2685E-12    55196.434282    55196.434282
1.4750E15     0.0000E00    1.3585E-10   7.8414E-13    55273.950012    55273.950012
1.4750E15     0.0000E00    1.6763E-10   9.8423E-13    55245.292234    55245.292234
1.4750E15     0.0000E00    1.5748E-10   1.0236E-12    55333.028889    55333.028889
1.4750E15     0.0000E00    1.1393E-10   5.2189E-13    54805.118021    54805.118021
1.4750E15     0.0000E00    1.0693E-10   6.9252E-13    55294.009676    55294.009676
1.4750E15     0.0000E00    1.1005E-10   7.0739E-13    55360.0689    55360.0689
1.4750E15     0.0000E00    1.2234E-10   7.2936E-13    55382.749988    55382.749988
1.4750E15     0.0000E00    1.2076E-10   1.0668E-12    54569.214213    54569.214213
1.4750E15     0.0000E00    1.5545E-10   9.2860E-13    55336.907778    55336.907778
1.4750E15     0.0000E00    1.2455E-10   1.1545E-12    55357.925521    55357.925521
1.4750E15     0.0000E00    1.8454E-10   1.5361E-12    54538.241875    54538.241875
1.4750E15     0.0000E00    1.9257E-10   1.1891E-12    55215.262245    55215.262245
1.4750E15     0.0000E00    1.0608E-10   6.8112E-13    53904.042477    53904.042477
1.4750E15     0.0000E00    1.3434E-10   5.8035E-13    55147.73103    55147.73103
1.4750E15     0.0000E00    1.7583E-10   1.0718E-12    55269.869433    55269.869433
1.4750E15     0.0000E00    1.3827E-10   8.1900E-13    55156.099028    55156.099028
1.4750E15     0.0000E00    1.8399E-10   1.0239E-12    54591.178831    54591.178831
1.4750E15     0.0000E00    1.5350E-10   8.4681E-13    55272.946563    55272.946563
1.4750E15     0.0000E00    1.4922E-10   8.1993E-13    55275.953854    55275.953854
1.4750E15     0.0000E00    1.4730E-10   9.4188E-13    55315.096782    55315.096782
1.4750E15     0.0000E00    1.5569E-10   1.0791E-12    54945.002002    54945.002002
1.4750E15     0.0000E00    1.4890E-10   6.6242E-13    55150.664329    55150.664329
1.4750E15     0.0000E00    1.1946E-10   1.1900E-12    55354.911389    55354.911389
1.4750E15     0.0000E00    2.1093E-10   1.3648E-12    54592.175069    54592.175069
1.4750E15     0.0000E00    2.0581E-10   1.0210E-12    54974.226354    54974.226354
1.4750E15     0.0000E00    1.4171E-10   9.2371E-13    55228.291528    55228.291528
1.4750E15     0.0000E00    1.5566E-10   9.9440E-13    55176.231146    55176.231146
1.4750E15     0.0000E00    1.6088E-10   1.0076E-12    55277.156354    55277.156354
1.4750E15     0.0000E00    2.1056E-10   1.0218E-12    54974.360174    54974.360174
1.4750E15     0.0000E00    1.2111E-10   8.7369E-13    54885.614086    54885.614086
1.4750E15     0.0000E00    1.3863E-10   8.0189E-13    54920.964931    54920.964931
1.4750E15     0.0000E00    2.1025E-10   2.6229E-12    54975.033623    54975.033623
1.4750E15     0.0000E00    2.0260E-10   1.6721E-12    55208.376944    55208.376944
1.4750E15     0.0000E00    1.8834E-10   2.1338E-12    54977.042222    54977.042222
1.4750E15     0.0000E00    1.1587E-10   1.0982E-12    55362.898542    55362.898542
1.4750E15     0.0000E00    1.4119E-10   9.6061E-13    55152.489514    55152.489514
1.4750E15     0.0000E00    1.6480E-10   1.0014E-12    55230.101111    55230.101111
1.4750E15     0.0000E00    1.9105E-10   1.0674E-12    55190.40941    55190.40941
1.4750E15     0.0000E00    9.2223E-11   1.0784E-12    54858.514155    54858.514155
# UVOTSSC uvm2 (id = 43)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.3450E15     0.0000E00    1.5811E-10   1.1166E-12    55265.983877    55265.983877
1.3450E15     0.0000E00    2.2905E-10   1.3300E-12    55196.434282    55196.434282
1.3450E15     0.0000E00    2.2836E-10   1.3376E-12    55212.374919    55212.374919
1.3450E15     0.0000E00    1.7560E-10   8.3878E-13    55245.292234    55245.292234
1.3450E15     0.0000E00    1.6647E-10   1.1626E-12    55326.890752    55326.890752
1.3450E15     0.0000E00    1.4370E-10   1.2011E-12    54948.884873    54948.884873
1.3450E15     0.0000E00    1.6670E-10   1.0053E-12    53931.613704    53931.613704
1.3450E15     0.0000E00    1.6647E-10   7.2958E-13    55246.368171    55246.368171
1.3450E15     0.0000E00    6.9167E-11   4.3864E-13    54805.118021    54805.118021
1.3450E15     0.0000E00    1.9691E-10   1.2630E-12    54594.265833    54594.265833
1.3450E15     0.0000E00    2.2476E-10   2.0011E-12    53742.409063    53742.409063
1.3450E15     0.0000E00    1.7016E-10   1.1107E-12    55220.281609    55220.281609
1.3450E15     0.0000E00    1.9524E-10   1.2041E-12    55192.42434    55192.42434
1.3450E15     0.0000E00    2.2631E-10   1.4430E-12    55211.367315    55211.367315
1.3450E15     0.0000E00    1.2932E-10   9.8066E-13    55284.054016    55284.054016
1.3450E15     0.0000E00    1.8526E-10   1.6289E-12    54538.241875    54538.241875
1.3450E15     0.0000E00    1.5796E-10   1.1178E-12    54778.869097    54778.869097
1.3450E15     0.0000E00    1.3374E-10   9.7397E-13    55257.024861    55257.024861
1.3450E15     0.0000E00    2.3967E-10   1.7955E-12    55198.312558    55198.312558
1.3450E15     0.0000E00    1.0228E-10   9.7691E-13    53904.042477    53904.042477
1.3450E15     0.0000E00    1.7320E-10   1.1894E-12    55269.869433    55269.869433
1.3450E15     0.0000E00    1.2895E-10   1.0458E-12    55303.117581    55303.117581
1.3450E15     0.0000E00    1.2690E-10   9.6987E-13    55278.022407    55278.022407
1.3450E15     0.0000E00    2.0890E-10   1.1956E-12    55214.316539    55214.316539
1.3450E15     0.0000E00    1.4492E-10   9.5195E-13    55156.099028    55156.099028
1.3450E15     0.0000E00    2.1143E-10   1.9064E-12    55209.357801    55209.357801
1.3450E15     0.0000E00    1.6104E-10   1.5651E-12    54943.06662    54943.06662
1.3450E15     0.0000E00    1.1238E-10   8.4925E-13    55288.943368    55288.943368
1.3450E15     0.0000E00    2.2907E-10   1.9064E-12    55188.483252    55188.483252
1.3450E15     0.0000E00    1.6933E-10   1.2901E-12    54945.002002    54945.002002
1.3450E15     0.0000E00    1.6658E-10   1.6981E-12    54510.106308    54510.106308
1.3450E15     0.0000E00    1.5721E-10   1.0881E-12    55150.664329    55150.664329
1.3450E15     0.0000E00    1.6694E-10   1.1594E-12    55267.926215    55267.926215
1.3450E15     0.0000E00    1.5069E-10   1.4259E-12    55153.428831    55153.428831
1.3450E15     0.0000E00    1.5861E-10   1.0294E-12    54559.244931    54559.244931
1.3450E15     0.0000E00    1.8478E-10   1.1513E-12    55345.946655    55345.946655
1.3450E15     0.0000E00    1.5121E-10   9.5334E-13    54913.941308    54913.941308
1.3450E15     0.0000E00    1.8490E-10   1.2831E-12    54965.065405    54965.065405
1.3450E15     0.0000E00    1.6472E-10   1.2525E-12    55216.330706    55216.330706
1.3450E15     0.0000E00    1.7957E-10   1.4574E-12    54512.454954    54512.454954
1.3450E15     0.0000E00    1.2559E-10   1.0250E-12    54885.614086    54885.614086
1.3450E15     0.0000E00    2.1273E-10   1.0910E-12    54593.179236    54593.179236
1.3450E15     0.0000E00    1.5312E-10   1.0099E-12    55319.863044    55319.863044
1.3450E15     0.0000E00    1.5825E-10   1.0338E-12    55250.317049    55250.317049
1.3450E15     0.0000E00    1.0344E-10   8.0566E-13    55293.34691    55293.34691
1.3450E15     0.0000E00    1.5899E-10   9.8379E-13    54914.943484    54914.943484
1.3450E15     0.0000E00    1.9163E-10   1.2854E-12    55180.241007    55180.241007
1.3450E15     0.0000E00    2.1552E-10   2.6189E-12    54975.033623    54975.033623
1.3450E15     0.0000E00    1.6883E-10   1.1116E-12    55223.278368    55223.278368
1.3450E15     0.0000E00    1.5174E-10   1.0291E-12    54928.868345    54928.868345
1.3450E15     0.0000E00    1.0523E-10   8.1396E-13    55290.006042    55290.006042
1.3450E15     0.0000E00    2.1674E-10   1.2821E-12    54594.924664    54594.924664
1.3450E15     0.0000E00    1.4045E-10   9.5313E-13    55261.974132    55261.974132
1.3450E15     0.0000E00    1.6476E-10   1.1863E-12    55266.992766    55266.992766
# UVOTSSC uvw1 (id = 42)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.1570E15     0.0000E00    1.9417E-10   8.6215E-13    55213.31191    55213.31191
1.1570E15     0.0000E00    1.5212E-10   9.3725E-13    54512.11287    54512.11287
1.1570E15     0.0000E00    1.3591E-10   9.5100E-13    55265.983877    55265.983877
1.1570E15     0.0000E00    2.3773E-10   1.2998E-12    55196.434282    55196.434282
1.1570E15     0.0000E00    1.4723E-10   1.0052E-12    55240.011667    55240.011667
1.1570E15     0.0000E00    2.0104E-10   1.1720E-12    55212.374919    55212.374919
1.1570E15     0.0000E00    1.2482E-10   7.7821E-13    55321.874595    55321.874595
1.1570E15     0.0000E00    1.3821E-10   7.6779E-13    54510.38184    54510.38184
1.1570E15     0.0000E00    1.4745E-10   5.7868E-13    55245.292234    55245.292234
1.1570E15     0.0000E00    1.3538E-10   1.0713E-12    55309.147303    55309.147303
1.1570E15     0.0000E00    1.4024E-10   9.9157E-13    55333.028889    55333.028889
1.1570E15     0.0000E00    1.3992E-10   1.0076E-12    55326.890752    55326.890752
1.1570E15     0.0000E00    1.4151E-10   9.3880E-13    55238.07    55238.07
1.1570E15     0.0000E00    1.6950E-10   9.2946E-13    54508.099803    54508.099803
1.1570E15     0.0000E00    1.7057E-10   9.9348E-13    55243.03228    55243.03228
1.1570E15     0.0000E00    1.4843E-10   9.8080E-13    55276.018507    55276.018507
1.1570E15     0.0000E00    1.4161E-10   1.0127E-12    55312.159988    55312.159988
1.1570E15     0.0000E00    1.2991E-10   7.3719E-13    54948.884873    54948.884873
1.1570E15     0.0000E00    2.0069E-10   1.2836E-12    55211.856181    55211.856181
1.1570E15     0.0000E00    1.7207E-10   1.1228E-12    55215.335914    55215.335914
1.1570E15     0.0000E00    1.1706E-10   1.1753E-12    55253.193993    55253.193993
1.1570E15     0.0000E00    1.3673E-10   5.8221E-13    55246.368171    55246.368171
1.1570E15     0.0000E00    1.3216E-10   9.4015E-13    54558.038252    54558.038252
1.1570E15     0.0000E00    1.5194E-10   9.4280E-13    55348.961111    55348.961111
1.1570E15     0.0000E00    1.0241E-10   3.5397E-13    54805.118021    54805.118021
1.1570E15     0.0000E00    1.4301E-10   9.3064E-13    55219.34941    55219.34941
1.1570E15     0.0000E00    1.2831E-10   9.8190E-13    55330.89559    55330.89559
1.1570E15     0.0000E00    1.3640E-10   9.3212E-13    55227.171956    55227.171956
1.1570E15     0.0000E00    8.8464E-11   7.7758E-13    55291.072095    55291.072095
1.1570E15     0.0000E00    1.7028E-10   1.1002E-12    54594.265833    54594.265833
1.1570E15     0.0000E00    1.3557E-10   1.0167E-12    54561.251146    54561.251146
1.1570E15     0.0000E00    1.2836E-10   9.4940E-13    54939.028461    54939.028461
1.1570E15     0.0000E00    1.2667E-10   7.8221E-13    55318.863472    55318.863472
1.1570E15     0.0000E00    1.6450E-10   1.0514E-12    54978.921273    54978.921273
1.1570E15     0.0000E00    1.1343E-10   7.7167E-13    54924.990278    54924.990278
1.1570E15     0.0000E00    1.3576E-10   8.9507E-13    55322.873877    55322.873877
1.1570E15     0.0000E00    1.1389E-10   7.7301E-13    54950.96544    54950.96544
